#{"t_start": 1765838208.0316541, "env_id": "None"}
r,l,t
-40.84158,100,37.778649
-36.93546,100,37.796576
-33.575085,100,37.813198
-32.737467,100,37.82902
-37.692455,100,37.846122
-37.565648,100,37.862773
-36.461032,100,37.887556
-37.780096,100,37.912113
-41.281569,100,37.938319
-40.802211,100,37.960989
-36.073708,100,37.982459
-33.853168,100,38.667094
-38.521208,100,38.68766
-36.072876,100,38.712342
-36.873469,100,38.736953
-38.856766,100,38.759824
-32.740346,100,38.778581
-40.806111,100,38.801487
-38.131235,100,38.820889
-36.179766,100,38.839128
-37.560834,100,38.858845
-32.164887,100,38.870235
-35.055222,100,38.886931
-38.016871,100,38.904415
-39.42239,100,38.928618
-36.204761,100,38.95581
-41.124179,100,38.978626
-35.633954,100,39.00056
-35.609662,100,39.020696
-31.06037,100,39.042212
-27.769359,100,39.061756
-36.094921,100,39.770074
-30.796385,100,39.79532
-30.384306,100,39.813018
-35.04075,100,39.829041
-38.660049,100,39.846061
-39.062363,100,39.864374
-28.196847,100,39.879147
-30.6555,100,39.910336
-34.360082,100,39.929047
-32.131431,100,39.953635
-30.963692,100,39.970429
-40.431803,100,39.990039
-39.014721,100,40.010347
-32.97938,100,40.041332
-30.483721,100,40.067328
-28.888203,100,40.087366
-28.915372,100,40.113076
-37.430819,100,40.142367
-34.30804,100,40.166472
-36.080432,100,40.19128
-0.619497,3,40.19128
-32.982274,100,40.215157
-41.28853,100,40.958873
-35.071797,100,40.970317
-35.280637,100,40.995407
-30.0601,100,41.07077
-36.044206,100,41.098379
-32.179737,100,41.120976
-27.685171,100,41.140403
-26.702255,100,41.164361
-34.639379,100,41.179316
-31.305934,100,41.203515
-37.702906,97,41.225691
-36.923722,100,41.254918
-38.011772,100,41.270324
-40.346517,100,41.301569
-35.249584,100,41.328668
-30.927747,100,41.345774
-33.456024,100,41.370374
-33.654612,100,41.387019
-32.030469,100,41.404322
-37.549874,100,41.43428
-30.58378,100,42.17075
-44.237494,100,42.187919
-30.961183,100,42.20411
-26.745452,100,42.220969
-5.1e-05,1,42.220969
-39.644939,100,42.256075
-35.186009,100,42.279138
-34.096847,100,42.300682
-41.573303,100,42.32106
-38.568407,100,42.341276
-35.88395,100,42.36099
-31.527921,100,42.3791
-34.227169,100,42.404305
-33.303713,100,42.420352
-32.285622,100,42.445847
-32.005514,100,42.472043
-31.005555,100,42.487561
-37.257634,100,42.504245
-25.870273,100,42.520817
-31.540464,100,42.542308
-4.6e-05,1,42.542308
-37.803479,100,42.559099
-36.656325,100,42.582657
-30.248226,100,43.278771
-25.022878,100,43.297639
-39.326215,100,43.312107
-27.206558,100,43.340125
-32.305858,100,43.359962
-32.894313,100,43.378755
-27.825588,100,43.398425
-28.555292,100,43.420405
-37.647954,100,43.445478
-34.246296,100,43.4705
-30.863446,100,43.487855
-26.376459,100,43.512121
-29.046942,100,43.529176
-32.038963,100,43.548607
-27.14978,100,43.568538
-29.322404,100,43.587059
-29.231098,100,43.604394
-36.792787,100,43.640335
-29.44686,100,43.662935
-27.725286,100,43.680921
-37.300804,100,44.387426
-38.13929,100,44.406021
-27.965129,100,44.420704
-31.957936,100,44.444339
-34.398797,100,44.468545
-28.446968,100,44.487726
-30.176223,100,44.504438
-24.314183,100,44.529154
-4.6e-05,1,44.529154
-32.720227,100,44.56002
-24.896773,100,44.580984
-32.642947,100,44.599616
-31.528058,100,44.616541
-36.598891,100,44.638367
-33.733515,100,44.660091
-27.358785,100,44.679294
-5.937724,25,44.679294
-42.20257,100,44.702622
-33.936422,100,44.725337
-36.143566,100,44.744352
-32.016746,100,44.763093
-37.260972,100,44.77917
-25.022507,100,45.509022
-32.522395,100,45.521177
-0.148643,3,45.521177
-1.405901,7,45.528836
-26.727935,100,45.545433
-33.195904,100,45.56289
-42.742525,100,45.587742
-28.057064,100,45.604275
-29.918587,100,45.6257
